member,member_index,resolution,predictor,value
Perm(identity),6,16,P4_method,solved
Perm(identity),6,16,P4-int,16.0
Perm(identity),6,16,P5_outdeg,1.0
Perm(identity),6,16,P5_persist,1.0
Perm(identity),6,16,P6,177.445678223346
Perm(identity),6,16,P7(1),15.999999999999998
Perm(identity),6,16,P7(2),16.0
Perm(identity),6,16,P7_method,enumerate
Perm(identity),6,16,P7_se,0.0
Perm(identity),6,16,P8,1.0000000000000004
Perm(identity),6,16,P8_min,1.0000000000000004
Perm(shift-1),7,1,P1(a=0),256.0
Perm(shift-1),7,1,P1(a=1),255.99999999999994
